"symbol","name","stockPrice","peRatio","marketCapitalization","divYield","revenueGrowth3yr","incomeGrowth3yr"
"TRUL.DB.U:CNX","Trulieve Cannabis",93,,17296838616,,47.23,
"TRUL.NT.U:CNX","Trulieve Cannabis Corp. 6OCT2026 Notes Note",70.61,,13132578222.32,,47.23,
"AYR.NT.U:CNX","Ayr Wellness Inc. 10DEC2024 Notes Note",70,,5353626600,,55.94,
"CURA:CNX","Curaleaf Holdings Inc",6,,4351237722,,65.21,
"GTII:CNX","Green Thumb Industries Inc (Sub Voting)",14.15,289.03,3378470031.95,,40.78,
"CACR.A:CNX","KWG Resources Inc (Multiple Voting)",2.84,,3357131061.68,,,
"VRNO:CNX","Verano Holdings Corp - Class A (Sub Voting)",6.22,,2135745937.08,,,
"TRUL:CNX","Trulieve Cannabis Corp (Sub Voting)",8.45,,1571594476.4,,47.23,
"CL:CNX","Cresco Labs Inc. (Sub Voting)",3.34,,1124595668.6,,49.88,
"FONE.DB.C:CNX","Flower One Holdings Inc. Series 15NOV2019 Debentures Convertible Debenture",1.35,,638683528.5,,221.11,
"ASE:CNX","Asante Gold Corp",1.56,,576314714.04,,,
"IWIN:CNX","Irwin Naturals Inc (Sub Voting)",1.1,49.06,352000000,,63.24,
"PLTH:CNX","Planet 13 Holdings Inc",1.51,,334515491.38,,18.52,
"LIFT:CNX","Li-FT Power Ltd",8,,313925856,,,
"AYR.A:CNX","Ayr Wellness Inc. (Sub, Restricted, Ltd Voting)",3.64,,278388583.2,,55.94,
"IBAT:CNX","International Battery Metals Ltd",1.18,,238661380.26,,,
"MRMD:CNX","MariMed Inc",0.6,29.01,222968854.8,,61.33,
"EPIC:CNX","1CM Inc",1.92,,219654915.84,,750.22,
"SUNN:CNX","SolarBank Corporation",7.75,,205762500,,,
"JUSH:CNX","Jushi Holdings Inc. - Class B (Sub Voting)",1.01,,198599704.71,,188.11,
"IAN:CNX","iAnthus Capital Holdings Inc",0.03,,193795316.37,,0.3,
"FFNT:CNX","4Front Ventures Corp (Sub Voting)",0.31,,201456515.37,,50.79,
"AAWH.U:CNX","Ascend Wellness Holdings Inc. - Class A",0.99,,203695828.38,,112.52,
"URB.A:CNX","Urbana Corp. - Class A",3.97,6.79,164338547,2.770780856423174,-2.25,
"URB:CNX","Urbana Corp.",3.71,6.79,153575821,2.964959568733154,-2.25,
"CHAL:CNX","Chalice Brands Ltd",0.225,,146324314.13,,17.44,
"RICH:CNX","Raffles Financial Group Limited",2.85,,142799250,,,
"SASK:CNX","ATHA Energy Corp",1,,126106388,,,
"DTC:CNX","Defence Therapeutics Inc",2.66,,116190592.84,,,
"TCF:CNX","Trillion Energy International Inc",0.295,,113858362.84,,184.27,
"FONE.DB.B:CNX","Flower One Holdings Inc. Series 28MAR2019 Debentures Convertible Debenture",0.22,,104081760.2,,221.11,
"INNO:CNX","InnoCan Pharma Corp",0.39,,102356976.93,,,
"BHSC:CNX","BioHarvest Sciences Inc",0.19,,90950751.92,,378.5,
"PBIT:CNX","POSaBIT Systems Corp",0.68,18.31,95074463.84,,166.7,
"IMCC:CNX","IM Cannabis Corp",1.08,,80549446.68,,265.87,
"MSET:CNX","Mindset Pharma Inc",0.73,,73948214.52,,,
"SCPE:CNX","Scope Carbon Corp",1.95,,72150001.95,,,
"BIGG:CNX","BIGG Digital Assets Inc",0.25,,63827600.25,,44.67,
"CYBT:CNX","Cybeats Technologies Corp",0.77,,71187993.03,,,
"VRTX:CNX","Vortex Energy Corp",1.21,,65071384.84,,,
"HUGE:CNX","FSD Pharma Inc - Class B (Sub Voting)",1.7,,65457279.4,,-100,
"NC:CNX","NetCents Technology Inc",0.69,,57035742.24,,47.33,
"BTC.PR.A:CNX","Bluesky Digital Assets Corp PRF PERPETUAL CAD - Ser A",0.49,,56534630.04,,51.62,
"ACT:CNX","Aduro Clean Technologies Inc",1.01,,63126656.4,,-13.38,
"BYND:CNX","BYND Cannasoft Enterprises Inc",1.4,,55501153.4,,17.03,
"WUC:CNX","Western Uranium & Vanadium Corp",1.27,,55375257.55,,460.78,
"MRM:CNX","Micromem Technologies, Inc.",0.11,,54802994.07,,,
"TTX:CNX","Tantalex Lithium Resources Corp",0.09,,50805756.45,,,
"DPRO:CNX","Draganfly Inc",1.17,,50707755.54,,16.85,
"CXXI:CNX","C21 Investments Inc",0.43,27.36,51620560.02,,-2.03,
"BRCK.U:CNX","BellRock Brands Inc (Sub Voting)",0.045,,47837908.58,,,
"GRIN:CNX","Grown Rogue International Inc",0.285,42.75,48687294.14,,74.67,
"FRSH:CNX","Fresh Factory B.C. Ltd (The) (Sub Voting)",0.92,,48006682.84,,,
"IRV:CNX","Irving Resources Inc",0.63,,45633147.21,,,
"LUR:CNX","Latitude Uranium Inc",0.19,,38730550.38,,,
"MMEN:CNX","MedMen Enterprises Inc - Class B (Sub Voting)",0.035,,45558931.74,,-14.75,
"BNKR:CNX","Bunker Hill Mining Corp",0.14,47.69,44442227.48,,,
"NVRO:CNX","EnviroGold Global Limited",0.21,,42296460.57,,,
"LIM:CNX","Li-Metal Corp",0.265,,41062764.42,,,
"USGD:CNX","American Pacific Mining Corp",0.24,,47181132.24,,,
"NTAR:CNX","NexTech3D.AI. - New Shares",0.37,,37781928.03,,-42.26,
"GLAB:CNX","Gemina Laboratories Ltd",0.5,,36662939,,,
"ACOG:CNX","Alpha Cognition Inc",0.335,,31808472.44,,,
"XOP:CNX","Canadian Overseas Petroleum Ltd",0.065,,38202167.25,,,
"LEEF:CNX","Leef Brands Inc",0.025,,28948350,,68.52,
"RGX:CNX","Regenx Tech Corp",0.1,,34717860.3,,,
"AMB:CNX","Ambari Brands Inc",0.6,,33528117,,,
"HEAT:CNX","Hillcrest Energy Technologies Ltd",0.59,,36180529.88,,,
"BOIL:CNX","Beyond Oil Ltd",0.65,,33859701.85,,,
"CDPR:CNX","Cerro de Pasco Resources Inc",0.1,,31317593.4,,,
"EMPS:CNX","EMP Metals Corp",0.5,,31160619,,,
"BZAM:CNX","BZAM Ltd",0.16,-1,28898232.32,,76.25,
"TICO:CNX","Talent Infinity Resource Developments Inc",1.5,,29967822,,,
"BLO:CNX","Cannabix Technologies Inc",0.255,,29106746.52,,,
"LTHM:CNX","Champion Electric Metals Inc",0.12,,29541447.72,,,
"SNA:CNX","Star Navigation Systems Group",0.025,,24115494.83,,-54.04,
"API:CNX","Appia Rare Earths & Uranium Corp.",0.235,,30673037.31,,,
"EGFV:CNX","Evolution Global Frontier Ventures Corp",2,,28500000,,,
"ARS:CNX","Ares Strategic Mining Inc",0.2,,27677445.2,,,
"LITS:CNX","Lithos Energy Ltd.",0.87,,28249341.09,,,
"PNRG:CNX","Pan American Energy Corp - New",0.53,,25635542.44,,,
"FNI:CNX","Fathom Nickel Inc",0.3,,28464318,,,
"BNXT:CNX","BioNxt Solutions Inc",0.35,,34435404.5,,7.87,
"KASH:CNX","Intellabridge Technology Corp",0.375,,27212803.5,,-100,
"MAXX:CNX","Max Power Mining Corp",0.59,,26735218.7,,,
"TRIP:CNX","Red Light Holland Corp",0.07,,27152453.09,,,
"MMAX:CNX","Metamaterial Exchangeco Inc. (Exchangeable Shares)",0.27,,26909647.74,,,
"AMMP:CNX","AmmPower Corp",0.175,,26885648.83,,,
"PKK:CNX","Tenet Fintech Group Inc",0.22,,21899720.26,,79.19,
"SHRC:CNX","Sharc International Systems Inc",0.245,,26337393.67,,138.25,
"GWAY:CNX","Greenway Greenhouse Cannabis Corp",0.2,,26184949.4,,,
"TRAC:CNX","Traction Uranium Corp",0.345,,26337006.06,,,
"AMPS:CNX","American Future Fuel Corporation",0.37,,28760992.44,,,
"JSDA:CNX","Jones Soda Co.",0.25,,25174533.75,,15.82,
"ULTH:CNX","United Lithium Corp",0.19,,23412394.13,,,
"FAT:CNX","Foremost Lithium Resource & Technology Ltd",5.75,27.46,22886822.75,,,
"TIUM.U:CNX","Cansortium Inc",0.09,,23846376.87,,39.53,
"CAKE:CNX","Radio Fuels Energy Corp",0.17,72.4,23651383.62,,,
"CACR:CNX","KWG Resources Inc (Sub Voting)",0.02,,23641768.04,,,
"TOC:CNX","Tocvan Ventures Corp",0.59,,23591213.72,,,
"MTLC:CNX","MTL Cannabis Corp",0.5,0,23076282,,63.35,
"YOUR:CNX","YourWay Cannabis Brands Inc",0.085,20.84,22939651.42,,,
"COVE:CNX","PlasCred Circular Innovations Inc Com",0.37,,22938743.48,,,
"BAMM:CNX","Body and Mind Inc",0.12,,17596436.88,,62.02,
"ATL:CNX","Atlas Global Brands Inc",0.15,-10.2,22660017.15,,,
"CNTR:CNX","CENTR Brands Corp",0.195,37.95,22641411,,57.11,
"TROY:CNX","Troy Minerals Inc",0.63,,22533682.5,,,
"GFCO:CNX","Good Flour Corp - Class A",0.3,,22509437.1,,,
"RWB:CNX","Red White & Bloom Brands Inc.",0.055,,24414504.62,,,
"RIV:CNX","RIV Capital Inc - Class A",0.155,,26214795.05,,,
"GDNS:CNX","Goodness Growth Holdings Inc (Sub Voting)",0.24,,20813047.2,,28.4,
"AUCU:CNX","Inflection Resources Ltd",0.235,,20627282.45,,,
"PAID:CNX","XTM Inc",0.15,,25775906.1,,47.98,
"FE:CNX","FE Battery Metals Corp",0.51,,21379219.38,,,
"SX:CNX","St-Georges Eco-Mining Corp",0.085,,20996778.88,,,
"MDMA:CNX","Pharmala Biotech Holdings Inc",0.235,,20229399.72,,,
"SHOE:CNX","Grounded People Apparel Inc",0.75,,14027307.75,,,
"MOOO:CNX","Bettermoo(d) Food Corporation",2.6,,20087969.2,,,
"BUX:CNX","BioMark Diagnostics Inc",0.27,,22487281.83,,-16.46,
"CDVA:CNX","CordovaCann Corp",0.18,,19710513.54,,,
"HWG:CNX","Headwater Gold Inc",0.295,,18353163.93,,,
"SCYB:CNX","Scryb Inc",0.08,,19175413.76,,,
"GTCH:CNX","Getchell Gold Corp",0.17,,19454969.32,,,
"NVLH:CNX","Nevada Lithium Resources Inc",0.31,,19162615.9,,,
"AGC:CNX","Avanti Gold Corp",0.47,,18214536.04,,,
"SIG:CNX","Sitka Gold Corp",0.14,,17916084.48,,,
"VEXT:CNX","Vext Science Inc.",0.25,1.64,17957053.5,,16.63,62.73
"SKUR:CNX","Sekur Private Data Ltd",0.155,,18138943.36,,158.39,
"SONA:CNX","Sona Nanotech Inc.",0.2,,19019072.2,,,
"HBFG:CNX","Happy Belly Food Group Inc",0.17,,18490848.66,,164.84,
"PDO:CNX","PUDO Inc",0.65,,17726154.55,,45.32,
"QBAT:CNX","Quantum Battery Metals Corp",0.47,,17082662.77,,,
"TEX:CNX","Targa Exploration Corp",0.43,,17366947.5,,,
"BITE:CNX","Blender Bites Limited",3.04,,17335776.32,,,
"LUX:CNX","Newlox Gold Ventures Corp",0.11,,16163010.27,,116.13,
"NFLD:CNX","Exploits Discovery Corp",0.125,,16839379.5,,,
"OPTI:CNX","Optimi Health Corp",0.19,,16487120.04,,,
"PHOS:CNX","First Phosphate Corp",0.33,-1222.1,15945178.26,,,
"CFE:CNX","Cartier Silver Corporation",0.385,,14636243.16,,,
"BLLG:CNX","Blue Lagoon Resources Inc.",0.155,,16263745.3,,,
"IDK:CNX","ThreeD Capital Inc",0.335,,16213551.1,,-40.1,
"TGGL:CNX","Toggle3D.ai",0.59,,16893159.07,,,
"VST:CNX","Victory Square Technologies Inc",0.16,,15930395.36,,16.08,
"MYTC:CNX","MyndTec Inc",0.7,,15821002.4,,,
"PRME:CNX","Prime Drink Group Corp",0.11,,15783290.82,,,
"XTRX:CNX","Adastra Holdings Ltd",0.29,,16231458.63,,302.49,
"RCLF:CNX","Rockcliff Metals Corp",0.04,,15583440.76,,,
"ASEP:CNX","ASEP Medical Holdings Inc",0.25,,15532586,,,
"RAIL:CNX","Railtown AI Technologies Inc",0.21,,16087679.79,,,
"KUYA:CNX","Kuya Silver Corporation",0.255,,15002109.26,,,
"ERKA:CNX","Eureka Lithium Corp",1,,14982997,,,
"STHZ:CNX","StateHouse Holdings Inc",0.05,,12623432.9,,33.14,
"EXM:CNX","EXMceuticals Inc",0.2,,15145511.2,,,
"HP:CNX","Hello Pal International Inc.",0.09,,14998826.07,,277.8,
"ARWY:CNX","Arway Corporation",0.55,,14646253.6,,,
"MVMD:CNX","Mountain Valley MD Holdings Inc",0.045,,14834404.08,,,
"URL:CNX","NameSilo Technologies Corp",0.16,,14823463.68,,18.32,
"IZO:CNX","Izotropic Corp",0.26,,13482305.46,,,
"HG:CNX","Hydrograph Clean Power Inc",0.095,,14695318.01,,,
"RVV:CNX","Revive Therapeutics Ltd",0.04,,12995360.44,,,
"CGN:CNX","Cognetivity Neurosciences Ltd",0.155,,13532570.43,,,
"RR:CNX","Recharge Resources Ltd",0.42,,14142859.08,,,
"LVL:CNX","Level 14 Ventures Ltd - New",0.155,,14184902.66,,,
"FOX:CNX","Fox River Resources Corp",0.25,,16118271.25,,,
"HODL:CNX","Cypherpunk Holdings Inc",0.095,46.02,14925518.21,,,
"UUSA:CNX","Kraken Energy Corp",0.24,,13007301.84,,,
"COOL:CNX","Core One Labs Inc",0.395,,14609313.98,,,
"FNDX:CNX","FendX Technologies Inc",0.3,,15574035.9,,,
"FABL:CNX","Fabled Copper Corp",0.06,,12890812.8,,,
"BAC:CNX","BacTech Environmental Corp",0.08,,13936826.72,,,
"TAAT:CNX","TAAT Global Alternatives Inc",0.115,,13219440.33,,2030.22,
"RISE:CNX","Rise Gold Corp",0.34,,12660533.76,,,
"PMC:CNX","Peloton Minerals Corp",0.115,,13678957.79,,,
"VBAM:CNX","Vital Battery Metals Inc.",0.345,,13655255.25,,,
"VSBY:CNX","VSBLTY Groupe Technologies Corp",0.055,,13564507.44,,8.35,
"SOL:CNX","SOL Global Investments Corp",0.25,0.09,13004633.25,,18.3,
"PMED:CNX","Predictmedix AI Inc",0.105,,12815385.66,,,
"MESC:CNX","Lophos Holdings Inc.",0.11,,9444564.03,,,
"MMET:CNX","Miata Metals Corp",0.5,,13257350,,,
"PREV:CNX","PreveCeutical Medical Inc",0.025,,13082583.98,,-100,
"AUAG:CNX","Auxico Resources Canada Inc",0.17,0.25,12670028.26,,,
"RI:CNX","Royalties Inc",0.06,,12767586,,,
"PUMP:CNX","Stock Trend Capital Inc",0.015,,9377948.58,,-100,
"STX:CNX","Starrex International Ltd",0.75,3.35,12409584.75,,-75.58,
"ACDX:CNX","American Copper Development Corporation",0.16,,13197988.96,,,
"PHRM:CNX","PharmaTher Holdings Ltd",0.135,,11902823.78,,,
"COSA:CNX","Cosa Resources Corp",0.355,,11972403.05,,,
"GEGC:CNX","Great Eagle Gold Corp",0.3,,11970750,,,
"CISC:CNX","Ciscom Corp",0.23,,11859681.13,,,
"VIN:CNX","Vinergy Capital Inc",0.245,,11241742.44,,,
"SLV:CNX","Silver Dollar Resources Inc",0.27,,11907635.85,,,
"PSYC:CNX","Psyched Wellness Ltd",0.085,,12356849.08,,,
"GBLC:CNX","Graph Blockchain Inc",0.02,,11554034.08,,,
"CRUZ:CNX","Cruz Battery Metals Corp.",0.07,,10777897.83,,,
"TELI:CNX","Telescope Innovations Corp",0.225,,12074753.03,,,
"TLP.UN:CNX","Tier One Capital Limited Partnership Units",2.6,,11995258.6,19.23076923076923,-100,
"ZRO:CNX","Biosenta Inc",0.5,,11703295.5,,,
"TN:CNX","Tartisan Nickel Corp",0.1,,11429712.8,,,
"BRH:CNX","Bitrush Corp",0.09,,11426151.51,,,
"BLAB:CNX","Britannia Life Sciences Inc",0.07,,11357803.73,,301.35,
"NOM:CNX","Norsemont Mining Inc",0.16,,8922308.8,,,
"SKLL:CNX","Royal Wins Corporation",0.09,,11138592.87,,,
"ORI:CNX","Orion Nutraceuticals Inc",0.4,,11113822.8,,,
"TYUM:CNX","Yumy Candy Company Inc (the)",0.38,,11099090.16,,,
"VOY:CNX","Voyageur Mineral Explorers Corp",0.34,,10971254.98,,,
"PTX:CNX","Platinex Inc.",0.04,,10902522.48,,,
"AIC:CNX","AlphaGen Intelligence Corp",0.125,,11352922.5,,,
"ATHA:CNX","Athena Gold Corp",0.08,,10887312,,,
"VENI:CNX","Top Strike Resources Corp",0.06,,10877003.4,,,
"CTTT:CNX","Critical Infrastructure Technologies Ltd",0.35,,10832500,,,
"LIVE:CNX","Live Energy Minerals Corp",0.63,,10722915.63,,,
"ACME:CNX","ACME Lithium Inc",0.18,,10641792.06,,,
"AIAI:CNX","NetraMark Holdings Inc",0.235,,9992458.97,,,
"BEE:CNX","Bee Vectoring Technologies International Inc",0.07,,9903482.75,,28.24,
"DRUG:CNX","Bright Minds Biosciences Inc",2.8,,10561798.8,,,
"WG:CNX","Westward Gold Inc",0.115,,10551298.19,,,
"WBGD:CNX","Waraba Gold Limited",0.085,,10545706.82,,,
"GET:CNX","GameOn Entertainment Technologies Inc",0.155,,10457320.68,,,
"DOSE:CNX","Rapid Dose Therapeutics Corp",0.1,,10357426.7,,118.9,
"PWR:CNX","Captiva Verde Wellness Corp",0.045,,9230223.02,,,
"ELMT:CNX","Element Nutritional Sciences Inc",0.08,,9066651.76,,121.42,
"SPMT:CNX","Spearmint Resources Inc",0.04,,10185983.32,,,
"BVCI:CNX","Blockchain Venture Capital Inc",0.38,,10089843.22,,,
"AJN:CNX","AJN Resources Inc",0.34,,9790470,,,
"RGC:CNX","Relevant Gold Corp.",0.2,,9999749.2,,,
"ZAIR:CNX","Zinc8 Energy Solutions Inc",0.06,,10877649.06,,,
"EMET:CNX","Canamera Energy Metals Corp",0.3,,9887784.6,,,
"MEDA:CNX","Medaro Mining Corp",0.125,,10293071.5,,,
"PSYG:CNX","Psyence Group Inc",0.075,,9879761.4,,,
"BY:CNX","Beyond Lithium Inc",0.36,,10124876.88,,,
"XBRA:CNX","Xebra Brands Ltd",0.045,,8851405.77,,,
"ATMO:CNX","Atmofizer Technologies Inc",0.075,,9830757.75,,,
"CNFA:CNX","CanaFarma Hemp Products Corp",0.05,,9780307.25,,,
"CC:CNX","Core Assets Corp",0.185,,9778087.31,,,
"BEV:CNX","BevCanna Enterprises Inc",0.055,,9738286.97,,,
"READ:CNX","Legible Inc",0.13,,10110722.18,,,
"EMER:CNX","Emergia Inc - Class A",0.185,0.27,9717811.54,,-37.84,
"HS:CNX","HS GovTech Solutions Inc",0.21,,9752781.15,,32.93,
"ALCU:CNX","Alpha Copper Corp",0.11,,9085435.15,,,
"REO:CNX","Reservoir Capital Corp",1.65,7.61,9493232.1,,212.99,
"CANN:CNX","Heritage Cannabis Holdings Corp",0.015,,14027383.25,,43.61,
"DCLI:CNX","Discovery Lithium Inc.",0.69,,9482621.7,,,
"JUBA:CNX","Majuba Hill Copper Corp",0.17,,9017077.27,,,
"GSRI:CNX","Golden Shield Resources Inc",0.215,,9251174.8,,,
"PUGS:CNX","Pursuit Gold Corp",0.59,,9235860,,,
"BNN:CNX","Benjamin Hill Mining Corp",0.15,,9232265.4,,,
"CNI:CNX","Anonymous Intelligence Company Inc Com",0.11,,9205487.83,,-100,
"BNSL:CNX","BnSellit Technology Inc",0.15,,9162490.05,,,
"HAMR:CNX","Silver Hammer Mining Corp",0.195,,9109164.09,,,
"FTEL:CNX","First Tellurium Corp",0.11,,9530425.41,,,
"VLTA:CNX","Volta Metals Ltd",0.235,,8987772.4,,-100,
"MEET:CNX","MetaWorks Platforms Inc Com",0.115,,8986682.59,,29.73,
"IAI:CNX","Infinitii Ai Inc",0.07,,8849734.81,,-0.05,
"PRR:CNX","Prospect Ridge Resources Corp",0.17,,8844598.16,,,
"OILS:CNX","Nextleaf Solutions Ltd",0.055,,8770103.1,,129.14,
"GREN:CNX","Madison Metals Inc",0.36,,8452134,,,
"DSAI:CNX","DeepSpatial Inc",0.09,,8462745.81,,,
"SPO:CNX","SponsorsOne Brands Inc",0.005,,8442702.68,,-19.26,
"GAND:CNX","Gander Gold Corp",0.11,,9743475.5,,,
"APLV:CNX","ApartmentLove Inc",0.16,,8380801.12,,545.41,
"CNRG:CNX","Caravan Energy Corporation",0.55,,8364125,,,
"TIDL:CNX","Tiidal Gaming Group Corp",0.1,,8760390.8,,,
"NUR:CNX","Nuran Wireless Inc",0.225,,8511344.33,,20.78,
"UBQ:CNX","Ubique Minerals Limited",0.1,,8265943.3,,,
"COMT:CNX","Collective Metals Inc",0.36,-1.5,8877108.24,,,
"PLCN:CNX","Cannibble Food Tech Ltd",0.35,,8231858.6,,,
"HZ:CNX","Hertz Lithium Inc",0.265,,8076405.27,,,
